縣市名稱,鄉鎮市區,學生等級,學校代碼,學校名稱,公/私立,地區屬性,地址,電話,網址,班級數,學生數(總計),學生數(男),學生數(女),原住民學生比例,上學年畢業生數(總計),上學年畢業生數(男),上學年畢業生數(女)
[01]新北市,三峽區,國小,14630,市立插角國小,公立,偏遠,[237]新北市三峽區插角里插角路39號,(02)26720230,https://www.cgps.ntpc.edu.tw,6,91,64,27, -, -, -, -
[01]新北市,三峽區,國小,14631,市立有木國小,公立,偏遠,[237]新北市三峽區有木里131號,(02)26720067,https://www.ymps.ntpc.edu.tw,6,86,46,40,5.81,19,6,13
[01]新北市,三峽區,國小,14632,市立五寮國小,公立,偏遠,[237]新北市三峽區五寮里69號,(02)26720298,https://www.wres.ntpc.edu.tw,6,74,42,32,1.35,12,7,5
[01]新北市,萬里區,國小,14658,市立萬里國小,公立,偏遠,[207]新北市萬里區瑪鋉路18號,(02)24922034,https://www.wlps.ntpc.edu.tw,13,263,138,125,6.84,42,22,20
[01]新北市,萬里區,國小,14659,市立野柳國小,公立,偏遠,[207]新北市萬里區野柳里港東路167號,(02)24922512,https://www.ylps.ntpc.edu.tw,6,74,35,39, -,7,2,5
[01]新北市,萬里區,國小,14660,市立大鵬國小,公立,偏遠,[207]新北市萬里區大鵬里加投路14號,(02)24988131,https://www.tpes.ntpc.edu.tw,6,53,33,20, -,7,5,2
[01]新北市,萬里區,國小,14661,市立大坪國小,公立,特偏,[207]新北市萬里區雙興里大坪路1號,(02)24929461,https://www.dpps.ntpc.edu.tw,6,32,17,15, -,11,3,8
[01]新北市,萬里區,國小,14662,市立崁腳國小,公立,偏遠,[207]新北市萬里區崁?里崁?路59號,(02)24922037,https://www.kjps.ntpc.edu.tw,6,31,22,9,16.13, -, -, -
[01]新北市,金山區,國小,14663,市立金山國小,公立,偏遠,[208]新北市金山區中山路234號,(02)24981125,https://www.tpcses.ntpc.edu.tw,19,398,201,197,1.76,72,38,34
[01]新北市,金山區,國小,14664,市立中角國小,公立,偏遠,[208]新北市金山區萬壽里海興路49號,(02)24982413,https://www.jjps.ntpc.edu.tw,6,61,31,30,4.92,11,7,4
[01]新北市,金山區,國小,14665,市立三和國小,公立,偏遠,[208]新北市金山區重和里11鄰六股林口38號,(02)24080417,https://www.sanho.ntpc.edu.tw,6,93,52,41, -,7,3,4
[01]新北市,石碇區,國小,14677,市立石碇國小,公立,偏遠,[223]新北市石碇區石碇里石碇西街15號,(02)26631244,https://www.stes.ntpc.edu.tw,6,34,13,21,5.88,2,1,1
[01]新北市,石碇區,國小,14678,市立和平國小,公立,偏遠,[223]新北市石碇區靜安路一段5號,(02)26631405,https://www.hpps.ntpc.edu.tw,6,92,45,47,1.09,14,8,6
[01]新北市,石碇區,國小,14679,市立永定國小,公立,偏遠,[223]新北市石碇區永定里靜安路一段245號,(02)26631288,https://www.tydes.ntpc.edu.tw,6,36,18,18,2.78,5,1,4
[01]新北市,石碇區,國小,14680,市立雲海國小,公立,偏遠,[223]新北市石碇區北宜路五段坑內巷1號,(02)26651715,https://www.whies.ntpc.edu.tw,6,88,47,41,1.14,6,1,5
[01]新北市,坪林區,國小,14682,市立坪林國小,公立,偏遠,[232]新北市坪林區坪林里坪林街114號,(02)26656213,https://www.plnes.ntpc.edu.tw,6,116,56,60, -,15,7,8
[01]新北市,烏來區,國小,14684,市立烏來國(中)小,公立,特偏,[233]新北市烏來區啦卡路5號,(02)26616482,https://www.wups.ntpc.edu.tw,6,80,37,43,95,12,5,7
